model_year,kms_driven,owner,location,mileage,power,price,new_col,CC,brand_name
2013,52000.0,1,visakhapatnam,55.0,11.0,30000,False,125,Hero Ignitor 
2021,500.0,1,hyderabad,47.19,18.23,150500,False,150,Yamaha MT-15 
2018,11000.0,2,delhi,52.56,15.29,90000,False,160,Bajaj Pulsar NS
2018,7259.0,1,pune,65.0,8.1,22500,False,100,Hero HF Deluxe Eco 
2019,4600.0,1,mumbai,28.78,27.2,181562,False,500,Royal Enfield Thunderbird X 
2018,6605.11895752201,1,mumbai,28.0,34.5,145250,True,400,Bajaj Dominar 
2019,40000.0,1,chittorgarh,39.0,18.1,70000,False,200,Hero Xtreme 
2016,45000.0,2,bangalore,42.0,16.7,92000,False,150,Yamaha YZF-R15 2.0 
2018,38000.0,1,chittorgarh,89.0,8.1,45000,False,100,Bajaj CT 
2016,6605.11895752201,1,mumbai,52.0,15.44,38000,True,160,Honda CB Hornet 
2018,48000.0,1,chittorgarh,45.0,13.0,48000,False,150,Hero Achiever Disc 
2020,13000.0,1,mumbai,35.0,19.8,207500,False,350,Royal Enfield Classic 
2019,16000.0,1,mumbai,35.0,19.8,176375,False,350,Royal Enfield Classic 
2014,39000.0,1,pune,45.0,13.0,49800,False,150,Yamaha FZs 
2014,6605.11895752201,1,mumbai,45.0,13.0,30000,True,150,Yamaha Fazer 
2003,126.0,1,thiruvananthapuram,65.0,15.0,24501,False,150,Bajaj Pulsar 
2011,6605.11895752201,1,mumbai,80.0,9.100000000000016,28000,True,100,Bajaj Discover 
2016,15745.0,1,bangalore,89.0,8.1,20180,False,100,Bajaj CT 
2016,26300.0,1,bangalore,63.0,14.0,50000,False,150,Suzuki Gixxer 
2019,75000.0,1,ahmedabad,55.0,8.2,30000,False,149.5,Hero Splendor Plus Special Edition IBS 
2010,65000.0,1,pune,40.0,17.0,40000,False,223,Hero Karizma R 
2018,15000.0,1,bangalore,38.0,21.0,76775,False,220,Bajaj Pulsar 
2019,26000.0,1,bangalore,51.45,19.0,115000,False,150,Yamaha MT-15 
2017,20000.0,1,bareilly,35.0,25.1,155000,False,200,KTM RC 
2017,43000.0,1,chittorgarh,45.0,9.39,49000,False,149.5,Hero Splendor ISmart Self Drum Alloy 
2017,6605.11895752201,1,thane,65.0,15.0,58400,True,150,Bajaj Pulsar 
2018,20167.0,1,bathinda,40.15,18.7,118500,False,150,Yamaha YZF-R15 V3 
2019,6605.11895752201,1,kannur,28.0,34.5,165200,True,400,Bajaj Dominar 
